bestseller,brand,product_name,item_no,5_star,4_star,3_star,2_star,1_star,price,oz_at_price,options,sex,type,loves,reviews,dominant_color,floral,fresh ,warm,spicy|spice,earthy,woody|wood,musk|musky,vanilla,fruit|fruity,sweet,oil,rose
False,viktor&rolf,spicebomb,1463199,371,37,9,9,13,92.0,1.7,"['standard size', 'mini size', 'value size']",unisex,eau de toilette spray,10000,439,"(50, 50, 49)",0,1,0,1,0,0,0,0,1,0,0,0
False,versace,dylan blue,1988245,61,6,1,2,2,118.0,6.7,['standard size'],men,eau de toilette spray,4277,72,"(21, 25, 71)",0,0,0,0,0,1,1,0,1,0,0,0
True,paco rabanne,1 million,1200773,301,40,7,6,6,88.0,3.4,"['standard size', 'value size']",men,eau de toilette spray,6497,360,"(234, 192, 105)",0,0,0,1,0,1,1,0,1,0,0,1
False,elizabeth and james,nirvana bourbon,1912567,370,82,49,31,43,110.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,10000,575,"(70, 33, 22)",0,0,1,1,0,1,0,1,0,1,0,1
True,yves saint laurent,y eau de toilette,1960673,76,12,3,0,2,75.0,2.0,['standard size'],men,eau de toilette spray,2619,93,"(194, 197, 211)",0,0,0,0,1,1,0,0,0,0,1,0
True,tom ford,white suede,1565753,11,2,0,0,1,605.0,8.4,['standard size'],unisex,eau de parfum decanter,1951,14,"(208, 196, 142)",0,0,1,0,0,0,1,0,0,0,0,1
False,versace,versace man eau fraiche,1359306,242,27,7,2,0,110.0,6.7,"['standard size', 'mini size', 'value size']",men,eau de toilette spray,5031,278,"(201, 222, 237)",0,0,1,1,0,1,1,0,1,0,0,1
False,versace,pour homme,1359298,238,24,3,1,3,110.0,6.7,"['standard size', 'mini size', 'value size']",unisex,eau de toilette spray,5821,269,"(194, 214, 237)",0,0,0,0,0,1,1,0,0,0,0,0
True,tom ford,costa azzurra,1647825,7,3,6,0,0,605.0,8.4,['standard size'],unisex,eau de parfum decanter,2429,16,"(181, 183, 117)",0,0,1,0,0,1,0,0,0,0,0,0
False,kilian,good girl gone bad,2056836,27,1,1,2,4,295.0,1.7,"['standard size', 'mini size']",unisex,eau de parfum spray,3193,35,"(228, 224, 218)",1,0,0,0,0,0,0,0,0,0,0,1
False,atelier cologne,orange sanguine cologne absolue pure perfume,1499128,248,91,45,37,27,135.0,3.3,"['standard size', 'value size']",unisex,cologne absolue pure perfume  spray,10000,446,"(226, 198, 126)",0,1,0,0,0,1,0,0,1,1,0,0
False,hermès,terre d’hermès eau de toilette,915447,104,9,2,4,15,120.0,3.3,"['standard size', 'value size']",men,eau de toilette spray,4787,134,"(246, 240, 223)",0,0,0,0,1,1,0,0,1,0,0,0
False,giorgio armani beauty,acqua di gio profumo,1736271,19,1,1,0,1,72.0,1.35,"['standard size', 'mini size']",men,parfum spray,1554,22,"(194, 194, 191)",0,0,1,1,0,1,0,0,0,0,0,1
False,commodity,book,1700012,82,10,12,9,21,105.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,3899,134,"(198, 198, 198)",0,1,0,0,1,1,0,0,0,0,0,0
True,yves saint laurent,la nuit de l’homme,1200716,234,28,4,2,2,92.0,3.3,['standard size'],men,eau de toilette spray,4552,270,"(215, 214, 204)",0,0,0,0,0,1,0,0,0,0,0,0
False,gucci,guilty pour homme,1655604,143,26,8,3,3,119.0,5.0,"['standard size', 'value size']",men,eau de toilette spray,5216,183,"(188, 179, 170)",1,0,0,0,0,1,0,0,0,0,0,0
False,commodity,gold,1700053,96,20,7,5,3,105.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,5409,131,"(234, 233, 233)",0,0,1,1,0,0,1,1,0,1,0,0
False,tom ford,noir de noir,1764141,18,1,1,0,0,605.0,8.4,['standard size'],unisex,eau de parfum decanter,3009,20,"(205, 193, 136)",1,0,1,0,0,1,0,1,0,0,0,1
False,montblanc,legend,1458405,112,11,3,2,0,90.0,3.3,"['standard size', 'mini size']",men,eau de toilette spray,3472,128,"(19, 19, 19)",1,1,0,0,0,1,0,0,0,0,1,1
False,paco rabanne,invictus,1605906,103,10,2,1,0,88.0,3.4,['standard size'],men,eau de toilette spray,4145,116,"(180, 181, 187)",0,0,0,0,0,1,0,0,1,0,0,0
True,tom ford,plum japonais,1565720,11,0,1,0,1,605.0,8.4,['standard size'],unisex,eau de parfum decanter,1146,13,"(219, 211, 157)",0,0,0,0,0,0,0,1,0,0,0,0
True,chanel,allure homme sport eau de toilette,772608,14,0,0,0,0,75.0,1.7,['standard size'],men,eau de toilette spray,1850,14,"(194, 191, 189)",0,1,0,1,0,0,1,0,0,0,1,0
False,tom ford,"""fougère d'argent""",2101392,,,,,,235.0,1.7,['standard size'],unisex,eau de parfum,156,0,"(41, 30, 19)",0,1,0,0,1,1,0,0,0,0,0,0
True,dolce&gabbana,light blue pour homme,1019983,302,43,6,2,6,68.0,2.5,['standard size'],men,eau de toilette spray,6090,359,"(195, 199, 190)",0,0,0,1,0,1,1,0,1,0,0,1
False,rag & bone,oddity eau de parfum,2011021,37,4,5,1,16,150.0,1.7,,unisex,,1405,63,"(73, 51, 39)",0,0,1,1,0,1,0,1,0,1,0,0
False,prada,luna rossa sport,1725563,81,10,0,0,1,88.0,3.4,['standard size'],men,eau de toilette spray,2583,92,"(192, 16, 18)",0,0,0,0,0,0,0,1,0,0,0,0
False,prada,luna rossa carbon,1918911,23,2,0,0,1,88.0,3.4,['standard size'],men,eau de toilette spray,1532,26,"(176, 180, 179)",0,0,1,0,1,1,0,0,0,0,0,0
False,hermès,"""terre d'hermes eau intense vetiver""",2121457,1,0,0,0,0,95.0,1.6,['standard size'],unisex,spray,60,1,"(237, 217, 141)",0,0,0,0,1,1,0,0,0,0,0,0
False,dolce&gabbana,light blue eau intense pour homme,1942838,18,1,0,0,0,68.0,1.6,['standard size'],men,eau de parfum spray,1420,19,"(158, 188, 206)",0,1,0,0,0,1,1,0,1,0,0,0
True,hermès,un jardin sur le nil,875773,82,13,1,2,2,138.0,3.3,['standard size'],unisex,eau de toilette spray,7084,100,"(227, 238, 226)",0,0,0,0,0,1,0,0,0,0,0,0
False,hermès,terre d’hermès pure perfume,1231869,7,1,0,0,0,135.0,2.5,['standard size'],men,pure perfume spray,945,8,"(244, 234, 197)",0,0,0,0,1,1,0,0,0,0,0,0
False,prada,luna rossa extreme,1609189,20,1,2,0,0,68.0,1.7,['standard size'],men,eau de parfum spray,1076,23,"(32, 31, 31)",0,0,0,1,0,0,0,0,0,0,0,0
False,chanel,platinum égoïste eau de toilette,50823,15,1,0,0,0,75.0,1.7,['standard size'],men,eau de toilette spray,1779,16,"(232, 230, 218)",0,0,0,0,0,1,0,0,0,0,0,0
False,ralph lauren,polo black,873117,95,14,1,2,0,68.0,2.5,"['standard size', 'value size']",men,eau de toilette spray,2539,112,"(25, 25, 25)",0,0,0,0,0,0,0,0,0,0,0,0
False,prada,luna rossa,1513316,124,13,2,1,2,106.0,5.0,['standard size'],men,eau de toilette spray,4314,142,"(228, 228, 228)",0,0,0,0,0,0,0,0,0,0,0,0
False,dolce&gabbana,the one for men,1127562,294,38,6,4,6,68.0,1.7,"['standard size', 'value size']",men,eau de toilette spray,3913,348,"(61, 24, 22)",0,0,0,1,0,1,0,0,1,0,0,0
False,clean,reserve sueded oud,1768449,55,21,17,2,8,95.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,2469,103,"(207, 206, 202)",0,0,1,1,0,1,1,0,0,0,1,0
False,tom ford,noir extreme,1706415,37,8,2,3,1,122.0,1.7,"['standard size', 'mini size']",unisex,eau de parfum spray,2536,51,"(229, 208, 145)",0,0,0,0,0,1,0,0,0,0,0,0
False,fresh,cannabis santal,1236850,242,40,11,8,11,50.0,1.0,['standard size'],unisex,eau de parfum spray,7349,312,"(221, 215, 201)",0,0,0,0,0,0,1,1,1,0,0,1
True,yves saint laurent,y eau de parfum,2099877,1,0,0,0,0,90.0,2.0,['standard size'],unisex,eau de parfum spray,122,1,"(222, 224, 227)",0,0,0,0,1,1,0,0,0,0,0,0
False,hermès,voyage d’hermès,1285832,27,4,1,0,0,100.0,1.2,"['standard size', 'value size']",unisex,eau de toilette refillable spray,2408,32,"(232, 232, 230)",0,1,0,0,1,1,1,0,0,0,0,0
False,giorgio armani beauty,acqua di gio pour homme set,2102895,,,,,,120.0,,,men,,52,0,"(66, 66, 65)",0,0,0,0,0,1,0,0,1,0,1,1
False,tom ford,oud minérale,1980481,8,2,0,0,0,605.0,8.5,['standard size'],men,eau de parfum decanter,760,10,"(116, 115, 113)",0,1,1,1,0,1,0,0,0,0,0,0
False,eight & bob,eight & bob original,1917822,8,0,0,0,0,185.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,623,8,"(220, 220, 217)",0,0,0,0,1,1,0,0,0,0,0,0
True,paco rabanne,1 million lucky,2038354,5,1,0,0,0,88.0,3.4,['standard size'],men,eau de toilette spray,274,6,"(231, 223, 206)",0,0,1,0,1,1,0,0,1,0,0,0
True,tom ford,tuscan leather,1764117,13,1,0,0,1,605.0,8.4,['standard size'],unisex,eau de parfum decanter,2086,15,"(204, 198, 148)",0,0,0,0,0,1,0,0,0,0,0,0
False,clean,reserve amber saffron,1773142,36,9,2,7,2,95.0,3.4,,unisex,eau de parfum spray,2709,56,"(217, 218, 214)",0,0,1,1,0,1,1,0,0,0,1,1
True,maison margiela,replica discovery set for him,2008209,15,2,2,0,0,65.0,,,men,,2371,19,"(230, 229, 223)",0,0,1,0,0,1,1,1,0,1,0,0
False,commodity,rain,1700046,24,7,2,3,1,105.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,3450,37,"(233, 232, 231)",1,1,0,0,0,1,1,0,0,0,0,0
False,givenchy,gentleman,1982974,7,1,0,0,1,91.0,3.3,['standard size'],men,eau de toilette spray,675,9,"(230, 224, 219)",1,0,1,1,0,1,0,1,0,0,1,0
False,ralph lauren,polo red,1528470,57,6,2,0,0,68.0,2.5,"['standard size', 'value size']",men,eau de toilette spray,3042,65,"(203, 15, 36)",0,1,0,1,0,1,0,0,1,0,0,0
False,chanel,allure homme sport eau extrême eau de parfum,1418516,3,0,0,0,0,95.0,1.7,['standard size'],men,eau de parfum spray,805,3,"(101, 96, 97)",0,1,1,0,1,1,1,0,0,0,0,0
False,ralph lauren,polo red rush,2099844,3,0,0,0,0,85.0,4.2,['standard size'],men,eau de toilette,73,3,"(145, 142, 139)",0,1,1,1,0,1,0,0,0,0,0,0
True,dior,fahrenheit,83246,77,8,1,1,3,75.0,1.7,['standard size'],men,eau de toilette spray,2056,90,"(30, 21, 23)",0,0,1,0,0,1,0,0,0,0,0,0
False,tom ford,sole di positano,1913698,4,1,1,0,0,605.0,8.4,['standard size'],unisex,eau de parfum decanter,2017,6,"(23, 166, 156)",0,1,0,0,0,1,0,0,1,0,0,0
False,dolce&gabbana,the one for men eau de parfum,1794205,7,0,1,1,0,74.0,1.6,['standard size'],men,eau de parfum spray,933,9,"(218, 179, 126)",0,0,1,1,0,1,0,0,1,1,0,0
